Brand,Store Name,Address
McDonald's,McDonald's Equine Park DT,,"Lot 4570 Taman Buaya Melaka, Mukim Bukit Katil, Daerah Melaka Tengah, 75320, Air Keroh, Melaka, Malaysia",
McDonald's,McDonald's Desa Aman Puri DT,,"No. 1 Jalan SG. 1/6, Taman Sri Gombak, 68100, Batu Caves , Selangor, Malaysia",
McDonald's,McDonald's Kulai DT,,"Lot PTD 68950, Batu 7 1/2, Jalan Kota Tinggi, 81100, Johor Bahru, Johor, Malaysia",
McDonald's,McDonald's UTM Skudai DT,,"8KM, KL-Seremban Highway, 57000, Seri Kembangan, Kuala Lumpur, Malaysia",
McDonald's,McDonald's Petronas Ampang DT,,"Lot 33-1-40, Prangin Mall, Jalan Dr Lim Chwee Leong, 10000, George Town, Pulau Pinang, Malaysia",
McDonald's,McDonald's Taman Sutera DT,,"No. 30 Sunway Mentari, Ground Floor Dataran Mentari, Jalan PJS 8/2, 46150, Petaling Jaya, Selangor, Malaysia",
McDonald's,McDonald's Bandar Tun Hussein Onn DT,,"Kawasan Rekreasi Teluk Cempedak, Jalan Teluk Cempedak, 25100, Kuantan, Pahang, Malaysia",
McDonald's,McDonald's Sri Manjung DT,,"No. 2, Jalan Sri Sarawak 18, Taman Sri Andalas, 41200, Klang, Selangor, Malaysia",
McDonald's,McDonald's Section 22 Shah Alam DT,,"No.4, Jalan RU 3/94, Sect 3, 40000, Shah Alam, Selangor, Malaysia",
McDonald's,McDonald's Banting DT,,"No.1 Jalan SS15/3A, 47500, Subang Jaya, Selangor, Malaysia",
McDonald's,McDonald's Caltex Farlim DT,,"Lot No. 7 & 9, Ground Floor, Tesco Hypermarket, Jalan Bandar 3, Pusat Bandar Puchong, 47100, Puchong, Selangor, Malaysia",
McDonald's,McDonald's 1 Borneo Mall,,"Lot 2726, Jalan Taman Komersil Senawang 1, Taman Komersil Senawang, 70450, Senawang, Negeri Sembilan, Malaysia",
McDonald's,McDonald's Shell Jalan Cheras DT,,"LG08, Jusco Shopping Center, No. 4, Jalan Pendidikan, Taman Universiti, 81300, Skudai, Johor, Malaysia",
McDonald's,McDonald's Labuan Airport,,"Lot PT21552 & PT21553, Mukim Sungai Buloh, Persiaran Perdana, 52200, Bandar Sri Damansara, Kuala Lumpur, Malaysia",
